[2025-03-06 14:17:19,257][inference.model_runners][INFO] - Reading checkpoint from RFDiffusionAA_paper_weights.pt
[2025-03-06 14:17:45,438][inference.model_runners][INFO] - Loading checkpoint.
[2025-03-06 14:17:45,810][diffusion][INFO] - No IGSO3 cache found at /home/freitas/workspace/Ribbon-Containers/containers/RFDiffusionAA/25.3.2/rf_diffusion_all_atom/cached_schedules/T_200_omega_1000_min_sigma_0_02_min_b_1_5_max_b_2_5_schedule_linear.pkl.
[2025-03-06 14:17:45,810][diffusion][INFO] - Calculating IGSO3.
[2025-03-06 14:18:55,956][__main__][INFO] - Making design samples/design_0
[2025-03-06 14:18:55,956][__main__][INFO] - making design 0 of 0:1
[2025-03-06 14:18:55,956][inference.model_runners][INFO] - Using contig: ['150-150']
[2025-03-06 14:20:08,237][inference.model_runners][INFO] - 14:20:08: Timestep 200, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:20:10,023][inference.model_runners][INFO] - 14:20:10: Timestep 199, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:20:11,781][inference.model_runners][INFO] - 14:20:11: Timestep 198, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:20:13,555][inference.model_runners][INFO] - 14:20:13: Timestep 197, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:20:15,350][inference.model_runners][INFO] - 14:20:15: Timestep 196, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:20:17,075][inference.model_runners][INFO] - 14:20:17: Timestep 195, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:20:18,864][inference.model_runners][INFO] - 14:20:18: Timestep 194, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:20:20,638][inference.model_runners][INFO] - 14:20:20: Timestep 193, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:20:22,403][inference.model_runners][INFO] - 14:20:22: Timestep 192, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:20:24,169][inference.model_runners][INFO] - 14:20:24: Timestep 191, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
